,lines,waves,obs_theo_ratio,wav_ratio,Texcit,long_wav,rel_error,bright_product
11,4-1 S(9) / 4-1 S(9),8304.07 / 8304.07,1.3065310143381947,1.0,30138.666,0.8304069,0.251178947477772,2.1766143699895473
20,8-4 S(0) / 8-4 Q(2),8475.17 / 8685.29,1.0007634328542936,1.0247928950097758,38913.587,0.8685294,0.118056424481044,1.1122650144593502
0,3-0 S(0) / 3-0 Q(2),8272.65 / 8522.57,1.2764568482235443,1.0302101393591632,17387.183,0.8522571,0.050819897948218416,1.8149602591177347
2,4-1 S(0) / 4-1 Q(2),8789.12 / 9057.20,0.8444465990095243,1.0305016849807849,22352.468,0.9057204,0.056860949923396006,3.881758536465339
8,5-1 S(1) / 5-1 Q(3),6776.75 / 7042.98,0.5347768635099904,1.0392863835909543,27374.175,0.7042984,0.1183944045635001,0.20166487916728587
12,6-2 S(1) / 6-2 Q(3),7238.21 / 7526.43,0.3786344513537283,1.0398190769159354,31661.077,0.7526433,0.24954431347758954,0.4445220808639658
5,4-1 S(2) / 4-1 Q(4),8549.88 / 9155.56,1.1080411117134639,1.0708417291665986,23294.809,0.9155564,0.2039299359551456,1.383115245806359
1,3-0 S(3) / 3-0 Q(5),7959.75 / 8674.35,0.9578995286234336,1.089776026969681,19085.761,0.8674348,0.5537657918957635,0.9392135615826377
6,4-0 O(7) / 4-1 S(3),7426.27 / 8459.29,8.494129190474256,1.1391030385097662,23954.871,0.8459289,0.1794567053436115,0.815833806266828
22,8-3 S(3) / 8-4 S(3),6450.83 / 8287.27,0.4083540162186409,1.284682104670497,40115.502,0.8287271,0.38724132711969883,0.2034065638297922
17,7-2 S(1) / 7-3 S(1),6037.46 / 7768.49,1.4955382112251432,1.2867147774063927,35613.272,0.7768489,0.1179804852569268,0.4073621081522041
25,9-4 S(4) / 9-5 S(4),7015.36 / 9034.88,1.320762537718654,1.287870900424212,43798.108,0.9034878,0.19465179660602674,0.06345984262678331
15,7-2 S(0) / 7-3 S(0),6083.08 / 7847.68,0.2933261294659123,1.2900841136812833,35280.972,0.7847681,0.5841099423258723,0.13462324395989772
24,9-4 S(2) / 9-5 S(2),7025.14 / 9083.40,1.2553170138580132,1.292985217652726,42827.236,0.9083397,0.22464482342396255,0.18505617758369802
23,9-4 S(1) / 9-5 S(1),7056.69 / 9145.66,1.8260350738488114,1.2960272422532675,42462.426,0.9145656,0.2655264936699421,0.9946818328827908
19,8-3 Q(1) / 8-4 Q(1),6656.12 / 8650.16,0.8608967505620264,1.2995804159663082,38707.583,0.8650158,0.15965286726226707,0.5516066656412195
3,4-0 Q(3) / 4-1 S(1),6615.09 / 8659.72,0.8671799910926143,1.3090849502667685,22758.987,0.865972,0.34669877288262746,0.3199305692691419
16,7-2 S(0) / 7-3 Q(2),6083.08 / 8038.44,0.5555225266321495,1.3214429144986986,35280.972,0.8038439,0.49520070990890463,0.056123178635815514
14,5-1 S(9) / 5-2 S(9),6699.11 / 8888.85,1.03873615003883,1.326870486715254,34288.459,0.8888854,0.14754633140896503,0.24726851559412658
13,5-1 S(7) / 5-2 S(7),6636.69 / 8850.66,0.9908693180012328,1.3335944070948578,32014.382,0.8850658,0.14005848554120223,1.3680482660565376
18,7-2 S(1) / 7-3 Q(3),6037.46 / 8082.91,1.202847874383901,1.3387929692287817,35613.272,0.8082909,0.10222787484645912,0.2131994719039895
7,4-0 S(5) / 4-1 S(5),6221.63 / 8334.66,0.628437780180366,1.3396273997139334,25622.762,0.8334662,0.13600976664997275,1.9396864930057782
10,5-1 S(5) / 5-2 S(5),6629.04 / 8893.81,1.3551969513286193,1.3416425266814531,30063.086,0.8893806,0.32397073297621515,1.2826344428442757
21,8-3 S(1) / 8-4 Q(3),6502.09 / 8738.38,1.1538466214003307,1.3439346954494162,39219.492,0.8738383,0.08308102816323136,0.29502816528248443
9,5-1 S(4) / 5-2 S(4),6645.58 / 8946.15,1.1013250337313878,1.3461802720545903,29228.502,0.8946146,0.1937942810547568,0.5463031217672162
4,4-0 Q(3) / 4-1 Q(3),6615.09 / 9099.25,0.7780993016487747,1.3755290552182629,22758.987,0.9099254,0.349394509828228,0.17453456815749732
