Index,wave0,sig_wave0,flux,sig_flux,Type,blend,I / 0,E(I / 0),II / 0,E(II / 0),MYSO / 0,E(MYSO / 0)
1146,6029.569454877917,0.5141523566214964,0.0304597401549428,0.0043925280566207,Deep Neutral?,False,0.8067956782960202,0.2783544695494928,0.6628879924854079,<,0.5664094244809422,0.10944291146839161
1153,6037.396887541621,0.5148198160446702,0.0417882203643713,0.0039673823582236,Deep Neutral?,False,0.4775590475336156,<,0.4535179332868039,<,0.621761778348098,0.14597441811223902
1190,6083.195648898506,0.5187251597442835,0.0100270846883321,0.0048254036768068,Neutral?,False,1.655362232816743,<,1.8545997498720228,<,1.587016537833868,0.7719142568089383
1300,6221.819532343622,0.5305458704750753,0.0444335229238367,0.0028020966485262,Deep Neutral,False,0.2535263361296286,<,0.5433398709555494,<,0.6469331124194146,0.08354545607085527
1332,6261.684680180874,0.5339452441552317,0.0278793226747175,0.002361491106551,Deep Neutral?,False,2.1986634982907645,0.29708825322477167,0.4539274983805264,0.10180843302574635,0.5285822242106506,0.3176379358431232
1339,6270.673849808571,0.5347117670027979,0.0944649075528148,0.0181537213215553,Deep Neutral,True,0.8767439190136257,0.4799310390132558,0.4809606383941948,0.23382099536957565,1.0710853759539272,0.4137372593740784
1470,6434.164840894927,0.5486529412412718,0.0471765198714892,0.0080835657108863,Deep Neutral?,False,0.8534325329866531,0.37308798060249826,0.1333024801820653,0.11596319759607526,1.0514296773062677,0.20723375435906086
1484,6451.198619237837,0.5501054425090185,0.0201963531543086,0.006935672325214099,Deep Neutral?,False,3.283322029368412,<,0.6278539568345048,<,1.187438960798378,<
1490,6459.251823047589,1.0856481013370485,0.0499266035299663,0.0036968350956073,Deep Neutral?,False,0.1887005219704029,<,0.373889517917539,<,1.892734840481579,1.2894851734870696
1498,6468.073488274766,0.5515443932911503,0.0643034815574355,0.014997980751180601,Deep Neutral?,False,2.1708541859223054,0.6638004607420673,0.3262371834905798,0.12837231364542478,1.1653865295339043,0.5981830383735383
1512,6486.270102954226,1.09018923784722,0.0247619397072777,0.0034649374419362,Deep Neutral?,False,1.7058966740251007,1.3082967264257637,0.3367228313504952,<,0.6535274610041525,0.5954358143533182
1524,6501.744771125228,0.554415604835787,0.0552766707134095,0.0026455657322981,Deep Neutral?,False,1.0110353350049843,0.17607273095493706,0.3370557073627696,0.016184726310062434,0.2990867849265654,0.029283783388615064
1547,6529.277457445634,0.556763367086756,0.0617775349379903,0.0030108045368302,Neutral?,True,2.0893496790315607,0.23831609272969556,0.4314230326240855,0.09268715167308954,0.2718681359097337,0.1408803232337797
